projectname,classification,commenttext
SpringFramework,SATD,//  TODO: shouldn't the wildcard lower the score?  		assertEquals(-1  				comparator.compare(parse("/hotels/new") parse("/hotels/new.*"))); 
SpringFramework,SATD,//  TODO this will currently map would be nice for optimization  assertTrue(ajexp.matches(HasGeneric.class));  assertFalse(ajexp.matches(TestBean.class)); 
SpringFramework,SATD,//  Plain PersistenceException wrapper for underlying exception?   Make sure the nested exception message is properly exposed   along the lines of Spring's NestedRuntimeException.getMessage() 
SpringFramework,SATD,//  Open frame not sent yet?   If in the session initialization thread then cache otherwise wait. 
SpringFramework,SATD,//  TODO: remove reflection when build requires JDK 9+ 
SpringFramework,SATD,//  TODO: optimize 
SpringFramework,SATD,//  TODO better exception handling 
SpringFramework,SATD,//  TODO: change to ByteBufferFeeder when supported by Jackson   See https://github.com/FasterXML/jackson-core/issues/478
SpringFramework,SATD,//  Remove corresponding bean from singleton cache if any. Shouldn't usually   be necessary rather just meant for overriding a context's default beans 
SpringFramework,SATD,//  It would be nice to partially match a path and get any bound variables in one step 
SpringFramework,SATD,//  TODO -- this fails with NPE due to ArrayToObject converter - discuss with Andy  setValueExpectError("arrayContainer.doubles[1]" new ArrayList<String>());  setValueExpectError("arrayContainer.shorts[1]" new ArrayList<String>()); 
SpringFramework,SATD,//  TODO: make sure Callback is null 
SpringFramework,SATD,//  TODO if you change type pattern from org.springframework.beans..*   to org.springframework..* it also matches introduction.   Perhaps generated advisor bean definition could be made to depend   on the introduction in which case this would not be a problem.
SpringFramework,SATD,//  JSR-330 API not available - Provider interface simply not supported then. 
SpringFramework,SATD,//  TODO document this behaviour. 
SpringFramework,SATD,//  We can optimize this because it's all new:   There is no replacement of existing property values. 
SpringFramework,SATD,//  one error (should not include delimiter) 
SpringFramework,SATD,// bad method (too many args doesn't obey class contract) 
SpringFramework,SATD,//  TODO replace this check: no longer possible  assertEquals(advised.getTarget() this); 
SpringFramework,SATD,//  TODO this seems rather bogus should we eagerly show an error? 
SpringFramework,SATD,//  TODO is this caching safe - passing the expression around will mean this executor is also being passed around 
SpringFramework,SATD,//  TODO possible optimization here if we cache the discovered type reference but can we do that? 
SpringFramework,SATD,// FIXME inline? 
SpringFramework,SATD,//  TODO revisit performance if doing a lot of case insensitive matching
SpringFramework,SATD,//  TODO might want to control this behaviour...   Do we really want to call remove after a remote exception? 
SpringFramework,SATD,//  TODO support multidimensional arrays   TODO support correct syntax for multidimensional [][][] and not []
SpringFramework,SATD,//  TODO used to catch UnknownAdviceTypeException but   with CGLIB some errors are in proxy creation and are wrapped   in aspect exception. Error message is still fine.  assertTrue(ex.getMessage().indexOf("ntroduction") > -1);
SpringFramework,SATD,//  TODO: returns just 1 as of AspectJ 1.9 beta 3 not detecting the applicable lambda expression anymore   assertEquals(2 ctx.getBean(CountingAspect.class).count); 
SpringFramework,SATD,//  TODO: fix Reactor support 
SpringFramework,SATD,//  TODO this looks like a serious issue (but not a new one): the context object against which arguments are evaluated seems wrong:  		evaluate("{a:1b:2c:3d:4e:5f:6g:7h:8i:9j:10}.?[isEven(value) == 'y']" "[2 4 6 8 10]" ArrayList.class); 
SpringFramework,SATD,//  TODO: Why does this test fail? It hasn't been run before so it maybe never actually passed... 
SpringFramework,SATD,//  TODO: what does this mean? This method is not used in SpEL so probably ignorable? 
SpringFramework,SATD,//  slight hack for Linux/Unix systems 
SpringFramework,SATD,//  TODO fails due to conversionservice handling of String[] to Object...  	expression = parser.parseExpression("#append2(#stringArray)"); 
SpringFramework,SATD,//  TODO Determine why connectWithError() is unused. 
SpringFramework,SATD,//  We don't trust the JDBC driver: It might throw RuntimeException or Error. 
SpringFramework,SATD,//  TODO Enable TestNG test with timeout once we have a solution.
SpringFramework,SATD,//  not implemented 
SpringFramework,SATD,//  TODO: Reactor usually times out on Windows ...
SpringFramework,SATD,//  TODO: It's just an adapter but returning 0 might still have side effects... 
SpringFramework,SATD,//  Bean Validation 2.0: currently not implemented here since it would imply   a hard dependency on the new javax.validation.ClockProvider interface.   To be resolved once Spring Framework requires Bean Validation 2.0+.   Obtain the native ValidatorFactory through unwrap(ValidatorFactory.class)   instead which will fully support a getClockProvider() call as well. 
SpringFramework,SATD,//  TODO could do with more refactoring around argument handling and varargs 
SpringFramework,SATD,/* 	 * Further TODO for compilation:	 *	 * - OpMinus with a single literal operand could be treated as a negative literal. Will save a	 *   pointless loading of 0 and then a subtract instruction in code gen.	 * - allow other accessors/resolvers to participate in compilation and create their own code	 * - A TypeReference followed by (what ends up as) a static method invocation can really skip	 *   code gen for the TypeReference since once that is used to locate the method it is not	 *   used again.	 * - The opEq implementation is quite basic. It will compare numbers of the same type (allowing	 *   them to be their boxed or unboxed variants) or compare object references. It does not	 *   compile expressions where numbers are of different types or when objects implement	 *   Comparable.     *	 * Compiled nodes:	 *	 * TypeReference	 * OperatorInstanceOf	 * StringLiteral	 * NullLiteral	 * RealLiteral	 * IntLiteral	 * LongLiteral	 * BooleanLiteral	 * FloatLiteral	 * OpOr	 * OpAnd	 * OperatorNot	 * Ternary	 * Elvis	 * VariableReference	 * OpLt	 * OpLe	 * OpGt	 * OpGe	 * OpEq	 * OpNe	 * OpPlus	 * OpMinus	 * OpMultiply	 * OpDivide	 * MethodReference	 * PropertyOrFieldReference	 * Indexer	 * CompoundExpression	 * ConstructorReference	 * FunctionReference	 * InlineList	 * OpModulus	 *	 * Not yet compiled (some may never need to be):	 * Assign	 * BeanReference	 * Identifier	 * OpDec	 * OpBetween	 * OpMatches	 * OpPower	 * OpInc	 * Projection	 * QualifiedId	 * Selection	  */
SpringFramework,SATD,//  TODO currently failing as with new ObjectToArray converter closest constructor 
SpringFramework,SATD,//  TODO: small memory optimization here (can skip creation for methods with no advice) 
SpringFramework,SATD,//  TODO: publisherToMono/CompletableFuture vs Single (ISE on multiple elements)? 
SpringFramework,SATD,//  TODO currently failing since setValue does a getValue and "Wien" string != PlaceOfBirth - check with andy 
SpringFramework,SATD,//  TODO Is the resolver/executor model too pervasive in this package? 
SpringFramework,SATD,//  TODO: refactor in AbstractBeanFactory (tests for AbstractBeanFactory) 
SpringFramework,SATD,//  No implementation just an addition of the tag interface StatefulJob   in order to allow stateful method invoking jobs. 
SpringFramework,SATD,//  The target does not implement the hashCode() method itself. 
SpringFramework,SATD,//  TODO possible optimization - only regex match if rest of pattern matches?   Benefit likely to vary pattern to pattern 
SpringFramework,SATD,//  Not implemented 
SpringFramework,SATD,//  The above result is likely to be incomplete i.e. only containing file system references.   We need to have pointers to each of the jar files on the classpath as well... 
SpringFramework,SATD,//  TODO need to make this conditionally occur based on a debug flag 
SpringFramework,SATD,//  TODO: maybe try and detect this as a special case in parser? 
SpringFramework,SATD,//  TODO what is the end position for a method reference? the name or the last arg? 
SpringFramework,SATD,//  This method may throw any BeansException which won't be caught   here if there is a critical failure such as no matching field.   We can attempt to deal only with less serious exceptions. 
SpringFramework,SATD,//  TODO Do we need special handling when patterns contain multiple dots? 
SpringFramework,SATD,//  ---- workaround ----
SpringFramework,SATD,//  TODO correct end position?
SpringFramework,SATD,//  TODO: Consider optimization by caching the list of the aspect names 
SpringFramework,SATD,/* 	 * Tomcat: ClientAbortException or EOFException	 * Jetty: EofException	 * WildFly GlassFish: java.io.IOException "Broken pipe" (already covered)	 * <p>TODO:	 * This definition is currently duplicated between HttpWebHandlerAdapter	 * and AbstractSockJsSession. It is a candidate for a common utility class.	 * @see #indicatesDisconnectedClient(Throwable)	  */
SpringFramework,SATD,/*  * Tests for pooling invoker interceptor. * TODO: need to make these tests stronger: it's hard to * make too many assumptions about a pool. * * @author Rod Johnson * @author Rob Harrop * @author Chris Beams * @author Stephane Nicoll  */
SpringFramework,SATD,//  This is a hack to be able to get the generated key from a database that doesn't support   get generated keys feature. HSQL is one PostgreSQL is another. Postgres uses a RETURNING   clause while HSQL uses a second query that has to be executed with the same connection. 
SpringFramework,SATD,//  TODO Fails related to conversion service converting a String[] to satisfy Object...  		expression = parser.parseExpression("sixteen(stringArray)");  		assertCantCompile(expression);  		expression.getValue(tc);  		assertEquals("aaabbbccc" tc.s);  		assertCanCompile(expression);  		tc.reset();  		expression.getValue(tc);  		assertEquals("aaabbbccc" tc.s);  		tc.reset();
SpringFramework,SATD,//  Can't clearly figure out exact method due to type converting / autowiring! 
SpringFramework,SATD,//  Workaround  caching issue... 
SpringFramework,SATD,//  JCA WorkManager resolved lazily - may not be available. 
SpringFramework,SATD,//  TODO unable to build correct type descriptor 
SpringFramework,WITHOUT_CLASSIFICATION,//  it should behave like ours 
SpringFramework,WITHOUT_CLASSIFICATION,//  Check it contains all 
SpringFramework,WITHOUT_CLASSIFICATION,//  int 
SpringFramework,WITHOUT_CLASSIFICATION,//  for this to work an actual WebJar must be on the test classpath 
SpringFramework,WITHOUT_CLASSIFICATION,//  Skip over any content from the start of the comment to the EOL 
SpringFramework,WITHOUT_CLASSIFICATION,//  Should not happen...
SpringFramework,WITHOUT_CLASSIFICATION,//  BeanFactory interface not registered as resolvable type in a plain factory. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Create EntityManagerFactory directly through PersistenceProvider. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Probably a proxy interfering with target type match -> throw meaningful exception. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Will do JNDI lookup to get home but won't call create   Could actually try to figure out interface from create?
SpringFramework,WITHOUT_CLASSIFICATION,//  TODO: could call the conversion service to convert the value to a String
SpringFramework,WITHOUT_CLASSIFICATION,//  Should not happen.. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Register the JPA EntityManager's JDBC Connection for the DataSource if set. 
SpringFramework,WITHOUT_CLASSIFICATION,// 	assertTrue(((SpelNodeImpl)((SpelExpression) expression).getAST()).isCompilable());  	assertCanCompile(expression); 
SpringFramework,WITHOUT_CLASSIFICATION,//  Second request: same session 
SpringFramework,WITHOUT_CLASSIFICATION,//  SPR-12170 
SpringFramework,WITHOUT_CLASSIFICATION,//  expire immediately so we can check expiration started 
SpringFramework,WITHOUT_CLASSIFICATION,//  Implementation of DeferredResultProcessingInterceptor methods 
SpringFramework,WITHOUT_CLASSIFICATION,//  Any other reactive type typically a Flux 
SpringFramework,WITHOUT_CLASSIFICATION,//  Parse num_element_value_pairs and element_value_pairs and visit these values. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Get and invoke the scheduled timeout task 
SpringFramework,WITHOUT_CLASSIFICATION,//  Standard JCA 1.5 "acknowledgeMode" apparently not supported (e.g. WebSphere MQ 6.0.2.1) 
SpringFramework,WITHOUT_CLASSIFICATION,//  no built in support for this: 
SpringFramework,WITHOUT_CLASSIFICATION,//  Remove exposed nestedPath value. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Check nested map in list 
SpringFramework,WITHOUT_CLASSIFICATION,//  original value is not a Big* number - use standard long conversion 
SpringFramework,WITHOUT_CLASSIFICATION,//  Access long array 
SpringFramework,WITHOUT_CLASSIFICATION,//  First check factory method return type if applicable 
SpringFramework,WITHOUT_CLASSIFICATION,//  Ignore when no TransformerFactory implementation is available 
SpringFramework,WITHOUT_CLASSIFICATION,// -------------------------------------------------------------------------   Helper methods used by the operations above  ------------------------------------------------------------------------- 
SpringFramework,WITHOUT_CLASSIFICATION,//  Swap it back 
SpringFramework,WITHOUT_CLASSIFICATION,//  SPR-9079 
SpringFramework,WITHOUT_CLASSIFICATION,//  Note: the ordering of the initializers is intentionally: two one. 
SpringFramework,WITHOUT_CLASSIFICATION,//  The new helper class here uses an upper bound on the generic 
SpringFramework,WITHOUT_CLASSIFICATION,//  should start since it's a dependency of an auto-started bean 
SpringFramework,WITHOUT_CLASSIFICATION,//  Check out of bounds 
SpringFramework,WITHOUT_CLASSIFICATION,//  If there are no listeners to inherit we might need to merge the   locally declared listeners with the defaults. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Absolutely needs thread-bound Executor to initialize. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Already filtered 
SpringFramework,WITHOUT_CLASSIFICATION,//  Make ThemeSource aware of parent ThemeSource. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Subtraction 
SpringFramework,WITHOUT_CLASSIFICATION,//  Ignore - no need to check resolvable type for manually registered singleton 
SpringFramework,WITHOUT_CLASSIFICATION,//  Create local SchedulerFactory instance (typically a StdSchedulerFactory) 
SpringFramework,WITHOUT_CLASSIFICATION,//  Get the value from the tag body 
SpringFramework,WITHOUT_CLASSIFICATION,//  SPR 17210 
SpringFramework,WITHOUT_CLASSIFICATION,//  At this point we got a new result to process 
SpringFramework,WITHOUT_CLASSIFICATION,//  check original locale 
SpringFramework,WITHOUT_CLASSIFICATION,//  Visit the runtime invisible instruction annotations if any. 
SpringFramework,WITHOUT_CLASSIFICATION,//  no init-param set  sc.addInitParameter(ContextLoader.CONFIG_LOCATION_PARAM "from-init-param.xml"); 
SpringFramework,WITHOUT_CLASSIFICATION,//  before construction 
SpringFramework,WITHOUT_CLASSIFICATION,//  NOTE we are using mock references so we don't need to worry about GC 
SpringFramework,WITHOUT_CLASSIFICATION,//  Instead of postHandle and afterCompletion 
SpringFramework,WITHOUT_CLASSIFICATION,//  Delegate to WebContentGenerator for checking and preparing. 
SpringFramework,WITHOUT_CLASSIFICATION,//  inline list creation 
SpringFramework,WITHOUT_CLASSIFICATION,//  get the bean again 
SpringFramework,WITHOUT_CLASSIFICATION,//  check new theme namelocale 
SpringFramework,WITHOUT_CLASSIFICATION,//  the advice declared last has higher precedence 
SpringFramework,WITHOUT_CLASSIFICATION,//  1. First item received   2. writeFunction applied and writeCompletionBarrier subscribed to it   3. Write Publisher fails right after that and before request(n) from server 
SpringFramework,WITHOUT_CLASSIFICATION,//  Determine JmsListenerEndpointRegistry bean from the BeanFactory 
SpringFramework,WITHOUT_CLASSIFICATION,//  Possible values for the KIND field of an abstract type. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Avoid creation of target Connection on pre-close cleanup (e.g. Hibernate Session) 
SpringFramework,WITHOUT_CLASSIFICATION,//  Efficiently check whether bean definition exists in this factory. 
SpringFramework,WITHOUT_CLASSIFICATION,//  depending on the configured hierarchy mode.s 
SpringFramework,WITHOUT_CLASSIFICATION,//  Controller-local first... 
SpringFramework,WITHOUT_CLASSIFICATION,//  - The offset of the AnnotationDefault attribute or 0. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Index of the next runtime visible type annotation to read (in the 
SpringFramework,WITHOUT_CLASSIFICATION,// ---------------------------------------------------------------------   Implementation of Lifecycle interface  --------------------------------------------------------------------- 
SpringFramework,WITHOUT_CLASSIFICATION,//  Type references 
SpringFramework,WITHOUT_CLASSIFICATION,//  SPR-13241 
SpringFramework,WITHOUT_CLASSIFICATION,//  mark which properties are required 
SpringFramework,WITHOUT_CLASSIFICATION,//  SPR-13374 
SpringFramework,WITHOUT_CLASSIFICATION,//  Two captures mean we use a RegexPathElement 
SpringFramework,WITHOUT_CLASSIFICATION,//  will it be compilable. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Possibly on Tomcat when called too late: fall back to silent setStatus 
SpringFramework,WITHOUT_CLASSIFICATION,//  Keep backing up the inheritance hierarchy. 
SpringFramework,WITHOUT_CLASSIFICATION,//  We are only validating the request. The response is mocked out.   hotel.getId() == 42   hotel.getName().equals("Holiday Inn") 
SpringFramework,WITHOUT_CLASSIFICATION,//  no match no forward slash included 
SpringFramework,WITHOUT_CLASSIFICATION,//  "read-only not supported" SQLException -> ignore it's just a hint anyway 
SpringFramework,WITHOUT_CLASSIFICATION,//  should handle Shopper (beats Greetable since it is a class) 
SpringFramework,WITHOUT_CLASSIFICATION,//  PROJECTION 
SpringFramework,WITHOUT_CLASSIFICATION,//  WebRequest / NativeWebRequest / ServletWebRequest 
SpringFramework,WITHOUT_CLASSIFICATION,//  CORS lookup 
SpringFramework,WITHOUT_CLASSIFICATION,//  Do not modify the Session: just mark the request accordingly. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Fail if we're already creating this bean instance:   We're assumably within a circular reference. 
SpringFramework,WITHOUT_CLASSIFICATION,//  This is a format that cannot be parsed by new Date(String) 
SpringFramework,WITHOUT_CLASSIFICATION,//  colors.put("black" "schwarz"); 
SpringFramework,WITHOUT_CLASSIFICATION,//  Use defaults?
SpringFramework,WITHOUT_CLASSIFICATION,//    / mapping (default servlet)   
SpringFramework,WITHOUT_CLASSIFICATION,//  SPR-13375 
SpringFramework,WITHOUT_CLASSIFICATION,//  Plain variant: just find a default bean 
SpringFramework,WITHOUT_CLASSIFICATION,//  Can now remove it 
SpringFramework,WITHOUT_CLASSIFICATION,//  foo.iii == 99 
SpringFramework,WITHOUT_CLASSIFICATION,//  id attribute is supported but we don't want it 
SpringFramework,WITHOUT_CLASSIFICATION,//  Do invoke this filter... 
SpringFramework,WITHOUT_CLASSIFICATION,//  RMIClientSocketFactory specified for registry access.   Unfortunately due to RMI API limitations this means   that we need to parse the RMI URL ourselves and perform   straight LocateRegistry.getRegistry/Registry.lookup calls. 
SpringFramework,WITHOUT_CLASSIFICATION,// -------------------   SPR-16103 classes  ------------------- 
SpringFramework,WITHOUT_CLASSIFICATION,//  SPR-8718 
SpringFramework,WITHOUT_CLASSIFICATION,/* 		public int return5() {			return 5;		}		 */
SpringFramework,WITHOUT_CLASSIFICATION,//  Full SLF4J SPI including location awareness support 
SpringFramework,WITHOUT_CLASSIFICATION,//  Must not be able to set enter message with exception placeholder 
SpringFramework,WITHOUT_CLASSIFICATION,//  Publish event via parent context as well... 
SpringFramework,WITHOUT_CLASSIFICATION,//  Route and metadata 
SpringFramework,WITHOUT_CLASSIFICATION,//  Forwarded to the "default" servlet via <mvc:default-servlet-handler/> 
SpringFramework,WITHOUT_CLASSIFICATION,//  Add property values based on autowire by name if applicable. 
SpringFramework,WITHOUT_CLASSIFICATION,//  SPR-15772 
SpringFramework,WITHOUT_CLASSIFICATION,//  Or and not expressions 
SpringFramework,WITHOUT_CLASSIFICATION,//  try to update the attribute again 
SpringFramework,WITHOUT_CLASSIFICATION,//  Check if repackaging is needed... 
SpringFramework,WITHOUT_CLASSIFICATION,//  Ensure user configured an appropriate DataSource/TransactionManager pair. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Invoked method threw a checked exception.   We must rethrow it. The client won't see the interceptor. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Default editors for primitive arrays. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Search parent types for method that has same signature as bridge. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Fresh ResourceBundle.getBundle call in order to let ResourceBundle   do its native caching at the expense of more extensive lookup steps. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Only do attribute scanning for public annotations; we'd run into   IllegalAccessExceptions otherwise and we don't want to mess with   accessibility in a SecurityManager environment. 
SpringFramework,WITHOUT_CLASSIFICATION,//  This implementation does nothing!   It's not overloaded 
SpringFramework,WITHOUT_CLASSIFICATION,//  Optimize for Mono 
SpringFramework,WITHOUT_CLASSIFICATION,//  create the proxy definition 
SpringFramework,WITHOUT_CLASSIFICATION,//  valueOf() invokes the constructor 
SpringFramework,WITHOUT_CLASSIFICATION,//  SPR-11326 
SpringFramework,WITHOUT_CLASSIFICATION,//  Reverse the list so that we can traverse "down" the hierarchy. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Couldn't determine resource URL - return null to indicate   that there is no appropriate text representation. 
SpringFramework,WITHOUT_CLASSIFICATION,//  SPR-17429 
SpringFramework,WITHOUT_CLASSIFICATION,//  SPR-13111 
SpringFramework,WITHOUT_CLASSIFICATION,//  disable caching for reliable leak detection see https://github.com/netty/netty/issues/5275 
SpringFramework,WITHOUT_CLASSIFICATION,//  Interceptor behind regexp advisor 
SpringFramework,WITHOUT_CLASSIFICATION,//  @Transactional(readOnly = true) 
SpringFramework,WITHOUT_CLASSIFICATION,//  Release underlying connection back to the connection manager 
SpringFramework,WITHOUT_CLASSIFICATION,//  try first time 
SpringFramework,WITHOUT_CLASSIFICATION,//  default HandlerAdapters if no other adapters are found. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Media type from "produces" attribute 
SpringFramework,WITHOUT_CLASSIFICATION,//  registered listeners above - but here potentially with additional metadata. 
SpringFramework,WITHOUT_CLASSIFICATION,//  the arguments should have been converted to the box form of the required type. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Still in startup registration phase 
SpringFramework,WITHOUT_CLASSIFICATION,//  PUT 
SpringFramework,WITHOUT_CLASSIFICATION,//  SPR-11325 
SpringFramework,WITHOUT_CLASSIFICATION,//  JCA 
SpringFramework,WITHOUT_CLASSIFICATION,//  there a couple of mappings defined with which we can test the   path matching let's do that... 
SpringFramework,WITHOUT_CLASSIFICATION,//  First non-basic Decoder (e.g. CBOR Protobuf) 
SpringFramework,WITHOUT_CLASSIFICATION,//  Ignore non-existent default lifecycle methods. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Rationale for the following assertion:     The field value for the custom rule is null when JUnit sees it. JUnit then   ignores the null value and at a later point in time Spring injects the rule   from the ApplicationContext and overrides the null field value. But that's too   late: JUnit never sees the rule supplied by Spring via dependency injection. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Typically a MalformedURLException or AccessControlException. 
SpringFramework,WITHOUT_CLASSIFICATION,//  method with changing target 
SpringFramework,WITHOUT_CLASSIFICATION,//  If EJB 3.1 API not present simply ignore. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Correct the position for the error before re-throwing 
SpringFramework,WITHOUT_CLASSIFICATION,//  - consolidate the state scattered in these two instances into the canonical instance: 
SpringFramework,WITHOUT_CLASSIFICATION,//  Standard Bean Validation 1.1 API 
SpringFramework,WITHOUT_CLASSIFICATION,//  next trigger is in one second because second is wildcard 
SpringFramework,WITHOUT_CLASSIFICATION,//  See SPR-10945 Serialized events result in a null source 
SpringFramework,WITHOUT_CLASSIFICATION,//  Try to connect using client. 
SpringFramework,WITHOUT_CLASSIFICATION,//  A normal return value: will lead to a commit. 
SpringFramework,WITHOUT_CLASSIFICATION,//  Explicit cast for compatibility with covariant return type on JDK 9's ByteBuffer 
SpringFramework,WITHOUT_CLASSIFICATION,//  SPR-13379 
